year,geo,gender,value
2014,Austria,Females,0.09299999999999997
2014,Poland,Males,0.882
2014,Poland,Females,0.11800000000000001
2014,Portugal,Males,0.792
2014,Portugal,Females,0.20800000000000002
2014,Romania,Males,0.7
2014,Romania,Females,0.3
2014,Slovenia,Males,0.878
2014,Slovenia,Females,0.122
2014,Slovakia,Males,0.855
2014,Slovakia,Females,0.145
2014,Finland,Males,0.669
2014,Finland,Females,0.331
2014,Sweden,Males,0.7390000000000001
2014,Sweden,Females,0.261
2014,United Kingdom,Males,0.758
2014,United Kingdom,Females,0.242
2014,Iceland,Males,0.816
2014,Iceland,Females,0.18400000000000005
2014,Norway,Males,0.8640000000000001
2014,Norway,Females,0.136
2014,Switzerland,Males,0.85
2014,Switzerland,Females,0.15
2014,Montenegro,Males,0.84
2014,Montenegro,Females,0.16
2014,North Macedonia,Males,0.674
2014,North Macedonia,Females,0.326
2014,Serbia,Males,0.813
2014,Serbia,Females,0.187
2014,Turkey,Males,0.742
2014,Turkey,Females,0.258
2015,All Europe,Males,0.825
2015,All Europe,Females,0.175
2015,Belgium,Males,0.905
2015,Belgium,Females,0.095
2015,Bulgaria,Males,0.7659999999999999
2015,Bulgaria,Females,0.23400000000000007
2015,Czechia,Males,0.892
2015,Czechia,Females,0.10800000000000001
2015,Denmark,Males,0.8270000000000001
2015,Denmark,Females,0.17300000000000001
2015,Germany,Males,0.867
2015,Germany,Females,0.133
2015,Estonia,Males,0.804
2015,Estonia,Females,0.196
2015,Ireland,Males,0.723
2015,Ireland,Females,0.27699999999999997
2015,Greece,Males,0.6579999999999999
2015,Greece,Females,0.342
2015,Spain,Males,0.767
2015,Spain,Females,0.233
2015,France,Males,0.862
2015,France,Females,0.138
2015,Croatia,Males,0.897
2015,Croatia,Females,0.10300000000000001
2015,Italy,Males,0.8109999999999999
2015,Italy,Females,0.18899999999999997
2015,Cyprus,Males,0.67
2015,Cyprus,Females,0.33
2015,Latvia,Males,0.85
2015,Latvia,Females,0.15
2015,Lithuania,Males,0.907
2015,Lithuania,Females,0.09300000000000001
2015,Luxembourg,Males,0.865
2015,Luxembourg,Females,0.135
2015,Hungary,Males,0.862
2015,Hungary,Females,0.138
2015,Malta,Males,0.81
2015,Malta,Females,0.19
2015,Netherlands,Males,0.8290000000000001
2015,Netherlands,Females,0.171
2015,Austria,Males,0.863
2015,Austria,Females,0.13699999999999998
2015,Poland,Males,0.892
2015,Poland,Females,0.10800000000000001
2015,Portugal,Males,0.757
2015,Portugal,Females,0.243
2015,Romania,Males,0.73
2015,Romania,Females,0.27
2015,Slovenia,Males,0.85
2015,Slovenia,Females,0.15
2015,Slovakia,Males,0.912
2015,Slovakia,Females,0.08799999999999997
2015,Finland,Males,0.706
2015,Finland,Females,0.294
2015,Sweden,Males,0.737
2015,Sweden,Females,0.263
2015,United Kingdom,Males,0.763
2015,United Kingdom,Females,0.237
2015,Iceland,Males,0.664
2015,Iceland,Females,0.336
2015,Norway,Males,0.7829999999999999
2015,Norway,Females,0.217
2015,Switzerland,Males,0.835
2015,Switzerland,Females,0.165
2015,Montenegro,Males,0.8640000000000001
2015,Montenegro,Females,0.13599999999999995
2015,North Macedonia,Males,0.845
2015,North Macedonia,Females,0.155
2015,Serbia,Males,0.8079999999999999
2015,Serbia,Females,0.192
2015,Turkey,Males,0.736
2015,Turkey,Females,0.264
2016,All Europe,Males,0.8390000000000001
2016,All Europe,Females,0.161
2016,Belgium,Males,0.873
2016,Belgium,Females,0.127
2016,Bulgaria,Males,0.708
2016,Bulgaria,Females,0.292
2016,Czechia,Males,0.88
2016,Czechia,Females,0.12
2016,Denmark,Males,0.841
2016,Denmark,Females,0.159
2016,Germany,Males,0.866
2016,Germany,Females,0.134
2016,Estonia,Males,0.8440000000000001
2016,Estonia,Females,0.156
2016,Ireland,Males,0.7120000000000001
2016,Ireland,Females,0.28800000000000003
2016,Greece,Males,0.731
2016,Greece,Females,0.26899999999999996
2016,Spain,Males,0.7959999999999999
2016,Spain,Females,0.204
2016,France,Males,0.866
2016,France,Females,0.134
2016,Croatia,Males,0.9390000000000001
2016,Croatia,Females,0.061
2016,Italy,Males,0.818
2016,Italy,Females,0.182
2016,Cyprus,Males,0.674
2016,Cyprus,Females,0.326
2016,Latvia,Males,0.805
2016,Latvia,Females,0.195
2016,Lithuania,Males,0.8079999999999999
2016,Lithuania,Females,0.192
2016,Luxembourg,Males,0.833
2016,Luxembourg,Females,0.16700000000000004
2016,Hungary,Males,0.852
2016,Hungary,Females,0.14800000000000002
2016,Malta,Males,0.831
2016,Malta,Females,0.16899999999999998
2016,Netherlands,Males,0.89
2016,Netherlands,Females,0.11
2016,Austria,Males,0.858
2016,Austria,Females,0.142
2016,Poland,Males,0.888
2016,Poland,Females,0.11199999999999999
2016,Portugal,Males,0.76
2016,Portugal,Females,0.24
2016,Romania,Males,0.723
2016,Romania,Females,0.27699999999999997
2016,Slovenia,Males,0.868
2016,Slovenia,Females,0.132
2016,Slovakia,Males,0.884
2016,Slovakia,Females,0.11599999999999999
2016,Finland,Males,0.8009999999999999
2016,Finland,Females,0.19899999999999998
2016,Sweden,Males,0.75
2016,Sweden,Females,0.25
2016,United Kingdom,Males,0.831
2016,United Kingdom,Females,0.16899999999999998
2016,Iceland,Males,0.728
2016,Iceland,Females,0.272
2016,Norway,Males,0.7929999999999999
2016,Norway,Females,0.207
2016,Switzerland,Males,0.8540000000000001
2016,Switzerland,Females,0.146
2016,Montenegro,Males,0.866
2016,Montenegro,Females,0.13400000000000006
2016,North Macedonia,Males,0.721
2016,North Macedonia,Females,0.27899999999999997
2016,Serbia,Males,0.8109999999999999
2016,Serbia,Females,0.18899999999999997
2016,Turkey,Males,0.7609999999999999
2016,Turkey,Females,0.239
2017,All Europe,Males,0.838
2017,All Europe,Females,0.162
2017,Belgium,Males,0.8540000000000001
2017,Belgium,Females,0.146
2017,Bulgaria,Males,0.662
2017,Bulgaria,Females,0.33799999999999997
2017,Czechia,Males,0.9279999999999999
2017,Czechia,Females,0.07200000000000001
2017,Denmark,Males,0.87
2017,Denmark,Females,0.13
2017,Germany,Males,0.862
2017,Germany,Females,0.138
2017,Estonia,Males,0.831
2017,Estonia,Females,0.16899999999999998
2017,Ireland,Males,0.732
2017,Ireland,Females,0.268
2017,Greece,Males,0.7829999999999999
2017,Greece,Females,0.217
2017,Spain,Males,0.807
2017,Spain,Females,0.193
2017,France,Males,0.882
2017,France,Females,0.11800000000000001
2017,Croatia,Males,0.873
2017,Croatia,Females,0.127
2017,Italy,Males,0.784
2017,Italy,Females,0.21600000000000003
2017,Cyprus,Males,0.7709999999999999
2017,Cyprus,Females,0.22899999999999998
2017,Latvia,Males,0.818
2017,Latvia,Females,0.182
2017,Lithuania,Males,0.818
2017,Lithuania,Females,0.182
2017,Luxembourg,Males,0.845
2017,Luxembourg,Females,0.155
2017,Hungary,Males,0.904
2017,Hungary,Females,0.096
2017,Malta,Males,0.77
2017,Malta,Females,0.23
2017,Netherlands,Males,0.877
2017,Netherlands,Females,0.12300000000000001
2017,Austria,Males,0.893
2017,Austria,Females,0.107
2017,Poland,Males,0.8959999999999999
2017,Poland,Females,0.10400000000000001
